category,id,name,nation,vm_ma,rcs_m2,traj,vi_ma,dia_m,guidance,range_km,notes
asm,exocet,飞鱼 Exocet MM40 Block3 (法国),法国,0.93,0.15,sea,,,,,公开资料速度/弹道；RCS 为量级估计
asm,harpoon,鱼叉 Harpoon (美国),美国,0.85,0.3,sea,,,,,公开资料速度/弹道；RCS 为量级估计
asm,yj12,鹰击-12 YJ-12 (中国),中国,3.5,0.3,high,,,,,公开资料速度/弹道；RCS 为量级估计
asm,yj18,"鹰击-18 YJ-18 (中国, 末端超音速)",中国,3.0,0.2,sea,,,,,公开资料速度/弹道；RCS 为量级估计
asm,kalibr,口径 3M-54 Kalibr (俄罗斯),俄罗斯,2.9,0.2,sea,,,,,公开资料速度/弹道；RCS 为量级估计
asm,brahmos,布拉莫斯 BrahMos (印度/俄罗斯),印度,3.0,0.3,sea,,,,,公开资料速度/弹道；RCS 为量级估计
asm,nsm,"海军打击导弹 NSM (挪威, 隐身外形)",挪威,0.93,0.05,sea,,,,,公开资料速度/弹道；RCS 为量级估计
sam,sm2,SM-2MR 标准-2 (美国),美国,,,,3.5,0.343,semi_active,167,公开资料速度/直径/射程
sam,sm6,SM-6 标准-6 (美国),美国,,,,3.5,0.343,active_mech,240,公开资料速度/直径/射程
sam,aster30,Aster 30 (法国/欧洲),欧洲,,,,4.5,0.18,active_mech,120,公开资料速度/直径/射程
sam,essm,ESSM Block2 (北约通用),北约,,,,4.0,0.254,active_mech,50,公开资料速度/直径/射程
sam,hhq9,海红旗-9 HHQ-9 (中国),中国,,,,4.2,0.56,active_mech,200,公开资料速度/直径/射程
sam,barak8,巴拉克-8 Barak 8 (以色列/印度),以色列,,,,2.0,0.225,active_mech,100,公开资料速度/直径/射程
sam,seaceptor,海上拦截者 Sea Ceptor/CAMM (英国),英国,,,,3.0,0.166,active_aesa,25,公开资料速度/直径/射程
sam,s300f,里夫/48N6 S-300F (俄罗斯),俄罗斯,,,,6.0,0.52,semi_active,150,公开资料速度/直径/射程
asm,yj83,鹰击-83/C-802 YJ-83 (中国),中国,0.9,0.2,sea,,,,,公开资料亚音速掠海反舰弹·射程约180km；部分资料称末端可加速至1.2-1.4Ma；RCS为量级估计
asm,yj62,鹰击-62 YJ-62 (中国),中国,0.8,0.25,sea,,,,,公开资料亚音速掠海反舰弹·巡航高度30m/末段7-10m·射程约280-400km；RCS为量级估计
asm,yj91,鹰击-91 YJ-91 (中国·改自Kh-31P),中国,3.5,0.15,sea,,,,,反辐射弹改型反舰弹·末端掠海约1.2m·射程约110km；RCS为量级估计
asm,yj17,鹰击-17 YJ-17 (中国·高超声速滑翔),中国,8.0,0.1,high,,,,,2025年阅兵公开的乘波体高超声速滑翔反舰弹·射程约1200km；RCS为滑翔体量级估计
asm,yj19,鹰击-19 YJ-19 (中国·超燃冲压),中国,8.5,0.15,high,,,,,超燃冲压发动机高超声速反舰弹·2025年阅兵公开·部分资料称可达10Ma以上；RCS为量级估计
asm,yj20,鹰击-20 YJ-20 (中国·高超声速弹道),中国,10.0,0.1,high,,,,,双锥体高超声速反舰弹道弹·射程约1500-2000km·由055型垂发冷发射；RCS为量级估计
asm,yj21,鹰击-21 YJ-21 (中国·高超声速弹道),中国,10.0,0.12,high,,,,,准弹道式反舰弹·巡航6Ma/末端10Ma·055型/H-6发射·射程约1500km；RCS为量级估计
asm,lrasm,LRASM AGM-158C (美国),美国,0.9,0.04,sea,,,,,JASSM衍生低RCS隐身反舰弹·多模复合导引头(GPS/INS+成像红外+无源ESM)含自主目标识别；RCS为量级估计
asm,jsm,JSM联合打击导弹 (挪威),挪威,0.9,0.05,sea,,,,,F-35内埋弹舱适配隐身反舰弹·可高-高-低/低-低-低多剖面飞行；RCS为量级估计
asm,zircon,3M22锆石 Zircon (俄罗斯),俄罗斯,8.0,0.2,high,,,,,超燃冲压高超声速反舰/对陆巡航弹·2023年服役·射程超1000km；RCS为量级估计
asm,p500,P-500玄武岩 Bazalt (俄罗斯),俄罗斯,2.5,0.35,high,,,,,大型冲压反舰弹·巡航高度50-5000m·末端2.0Ma掠海俯冲·射程550km；RCS为量级估计
asm,p700,P-700花岗岩 Granit (俄罗斯),俄罗斯,2.5,0.35,high,,,,,大型冲压反舰弹·高空巡航2.5Ma以上·射程约550-625km；RCS为量级估计
asm,p270,P-270白蛉 Moskit/SS-N-22 (俄罗斯),俄罗斯,2.2,0.3,sea,,,,,超低空掠海反舰弹(10-20m/末段小于7m)·高空模式可达3Ma·射程120-250km；RCS为量级估计
asm,kh22,Kh-22/AS-4厨房 (俄罗斯),俄罗斯,4.6,0.4,high,,,,,大型高空超音速反舰/对陆弹·高空模式爬升27000m后俯冲·射程约600km；RCS为量级估计
asm,kh32,Kh-32 (俄罗斯·Kh-22改进型),俄罗斯,4.6,0.4,high,,,,,Kh-22升级型·升限达40000m·射程约600-1000km；RCS为量级估计
asm,kh31,Kh-31/AS-17小妖精 (俄罗斯),俄罗斯,2.5,0.15,sea,,,,,Kh-31A反舰型末端掠海·射程7.5-70km·衍生型号含鹰击-91；RCS为量级估计
asm,kh15,Kh-15/AS-16厨刀 (俄罗斯),俄罗斯,5.0,0.15,high,,,,,空射弹道式导弹·爬升至40000m后俯冲末端5Ma·射程300km；RCS为量级估计
asm,hf2,雄风二型 Hsiung Feng II (台湾地区),台湾地区,0.75,0.2,sea,,,,,亚音速掠海反舰弹·射程约80km·弹径0.34m；RCS为量级估计
asm,hf3,雄风三型 Hsiung Feng III (台湾地区),台湾地区,2.5,0.25,sea,,,,,固体助推加液体冲压超音速掠海反舰弹·射程150-300km(增程型更远)；RCS为量级估计
asm,rbs15,RBS-15 Mk4 Gungnir (瑞典),瑞典,0.9,0.2,sea,,,,,亚音速掠海反舰弹·惯性/抗干扰GPS/J波段主动雷达制导·射程超300km；RCS为量级估计
asm,taurus350,Taurus KEPD 350 (德国/瑞典),德国,0.9,0.1,sea,,,,,隐身外形亚音速巡航弹·地形跟踪低空突防(30-40m)·主要用于对陆/大型舰船·射程超500km；RCS为量级估计
asm,quicksink,Quicksink制导炸弹 (美国),美国,0.9,0.15,high,,,,,GBU-31/GBU-38 JDAM改装反舰套件(加装雷达+成像红外导引头)·由高空投放滑翔·滑翔射程约74km；RCS为量级估计
asm,tasm,战斧反舰型 Maritime Strike Tomahawk (美国),美国,0.75,0.2,sea,,,,,战斧Block Va海上打击型·GPS/INS加改进导引头可打击海上机动目标·射程约1600km；RCS为量级估计
asm,aargmer,AGM-88G AARGM-ER (美国),美国,2.0,0.07,high,,,,,反辐射弹用于压制/摧毁舰载雷达等辐射源·射程约130km；RCS为量级估计
sam,sm2er,SM-2ER RIM-156标准-2增程型 (美国),美国,,,,3.5,0.343,semi_active,240,公开资料速度/直径/射程；与SM-6共用助推器与弹体
sam,hhq9b,海红旗-9B HHQ-9B (中国),中国,,,,4.4,0.56,active_mech,260,公开资料速度/直径/射程；主动雷达加被动红外双模末制导增强抗干扰
sam,hhq16f,海红旗-16F HQ-16FE参考型 (中国),中国,,,,3.0,0.34,semi_active,160,参考出口型HQ-16FE公开参数；射高15m-27km配相控阵雷达跟踪
sam,hq10,红旗-10 HQ-10舰载型 (中国),中国,,,,2.5,0.12,active_mech,9,红外成像末制导舰载近程点防御弹·自主末制导不依赖照射(按active_mech归类)·射高低至1.5m
sam,rim116,RIM-116 RAM滚转弹体导弹 (美国),美国,,,,2.0,0.159,active_mech,15,被动射频/红外复合导引自主末制导(按active_mech归类)·Block2性能
sam,hhq16b,海红旗-16B HHQ-16B (中国),中国,,,,3.0,0.34,semi_active,70,公开资料速度/直径/射程；较HQ-16A增程并改进发动机与弹翼
